Institution,OA Type,Discipline,Progress,Duration (in seconds),Finished,Do you agree to participate in this study?,GOLD ONLY Was there a fee (article processing charge) for the publication indicated in our email to you?,"GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Selected Choice","GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Maybe - Text",Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Selected Choice,Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Other - Text,"If you didn't have access to this funding, would you still have published in this journal? - Selected Choice","If you didn't have access to this funding, would you still have published in this journal? - Other - Text","If you had a colleague at an R3 university with zero grant funding, do you think this fee would be reasonable for them to pay?",What fees (if any) do you think are reasonable for journals to ask in exchange for open access publishing? (Please select the highest range you would deem reasonable),How do you perceive your ability to pay a publishing fee compared to other researchers in your field?,Do you have any additional comments regarding authors' ability to pay publishing fees for open access?,Do you have any additional comments about the topics in this survey?
Pitt,Gold,HM,100,180,TRUE,I agree to participate,Yes,,,Department,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I have opted out of paying open access fees for some journals (e.g., Nature imprints) because the fees (~$11,000) are completely unreasonable for anyone.",
Pitt,Gold,HM,100,154,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I usually only publish in Open Access if I have a fee waived, or if I have grant funds to cover the fee. ",
Pitt,Gold,HM,100,56,TRUE,I agree to participate,Yes,,,Department,,No,,Somewhat reasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,2667,TRUE,I agree to participate,Yes,,,Department,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,We should get paid for reviewing articles and then there should be a trade off between submitting to a group of journals and reviewing. I have stopped reviewing.,
Pitt,Gold,HM,100,324981,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,83,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,I like the idea of a University fund to support publication costs.,
Pitt,Gold,HM,100,191,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,There is a Catch-22 when it comes to using grant funding to cover the APC. Typically we are submitting manuscripts for publication at least a year after our research funding expires. Therefore we can't pay the APC from grant funds unless the NIH allows us to retain that money after we close out the grant.,
Pitt,Gold,HM,100,300,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,54,TRUE,I agree to participate,No,Yes,,,,,,,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,18,41,FALSE,I agree to participate,,,,,,,,,,,,
Pitt,Gold,HM,100,216,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,Very skewed towards individuals with excess grant funding. Much more challenging for trainees.,
Pitt,Gold,HM,91,417,FALSE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,i am a member and review. why do i have to pay?,
Pitt,Gold,HM,36,77978,FALSE,I agree to participate,Yes,,,,,,,,,,,
Pitt,Gold,HM,36,176671,FALSE,I agree to participate,Yes,,,,,,,,,,,
Pitt,Gold,HM,100,131,TRUE,I agree to participate,Yes,,,Other,Start up funding,No,,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,"I am fortunate to have numerous extramural grants and to have startup available due to my leadership role. But APC are ridiculously high, since everything is electronic anyway. Reviews are performed by academic like me for free!",
Pitt,Gold,HM,100,108,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,122,TRUE,,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,33,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,No fees are reasonable,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,99,TRUE,I agree to participate,Yes,,,"Grant,Department",,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,221,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"All publishing fees are unreasonable, especially since the services offered by journals are fewer and fewer. Authors do almost everything. It is more and more self-publishing.",
Pitt,Gold,HM,100,117,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,"It would be helpful to have a sliding scale for fees, as for e.g. society membership fees, or a straightforward mechanism to request a waiver e.g. if no grant funding.",
Pitt,Gold,HM,100,170,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,University libraries are saving funds on subscription fees as journals move top an open access platform. These savings should help support APCs. ,
Pitt,Gold,HM,100,90,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $3k,It is much easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,381,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"Open access fees should be payed directly from funding agencies even if the author does not have current funding.
The funding agencies should not fund grantee money for publication. These money should be used by the agencies to support directly peer reviewed journal ",
Pitt,Gold,HM,100,138,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,open access fees are exorbitant,No
Pitt,Gold,HM,100,293,TRUE,I agree to participate,Yes,,,I'm not sure where the funding came from,,No,,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,As an active member of the university I think it is crucial to have the University's support to publish as this will impact my success which is part of the university's success in supporting scholarly activities,
Pitt,Gold,HM,100,93,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,177,TRUE,I agree to participate,No,Maybe,,,,,,,No fees are reasonable,It is much more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,103,TRUE,I agree to participate,Yes,,,Department,,Other,I would have published it but not as open access,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,162,TRUE,I agree to participate,Yes,,,Out of pocket,,Other,I paid out of pocket. I only did this because publication was a barrier to my academic promotion which came with a higher level of salary,Extremely reasonable,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,"I had to pay $5 K out of pocket to publish this article. I was not happy about it at all, but publication was the only barrier I had to academic promotion, which came with more salary, so I felt forced to pay. ",
Pitt,Gold,HM,100,6132,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,no,no
Pitt,Gold,HM,100,501,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,"Open access fees really just fuel inequities in publications AND contribute to a lack of diversity in fully promoted and tenured professors at universities nationally.  Those who have money can pay, be published, and get more citations, and those who don't...well don't.  And then they are forced to move on to a different institution or career path.  It's a huge problem from a DEI perspective in academia. ","Taxpayers and the public deserve to have open access to research data, but providing access shouldn't be fueling the publishing industry who ultimately works off of the backs of volunteer peer reviewers. The fact that researchers have to write these fees into their federal or other grants is just supporting the publishing industry and is a waste of resource when we have the internet - knowledge and access to research data should be free."
Pitt,Gold,HM,100,238,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,33312,TRUE,I agree to participate,No,Maybe,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,257,TRUE,I agree to participate,Yes,,,Other,Personal research development funds ,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,"These fees are becoming more extreme. Students and postdocs and community researchers cannot afford these fees. There are no real structures in place for people to pay them, particularly our colleagues in low income countries leading research. Open access is critical but the 'pay to play' model exacerbates inequities in publishing.",
Pitt,Gold,HM,100,115,TRUE,I agree to participate,Yes,,,Out of pocket,,No,,Somewhat reasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,87,TRUE,I agree to participate,Yes,,,Out of pocket,,Other,I didn't have funding. I paid for it myself.,Somewhat unreasonable,No fees are reasonable,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,112,TRUE,I agree to participate,Yes,,,"Grant,Department",,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,100,156,TRUE,I agree to participate,Yes,,,The fee was waived,,No,,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I am concerned about publishing fees and their impact on faculty in smaller institutions and the impact of a bias based on funding for what research gets published.  However, I am a fan of open access research journals so how to achieve both goals is very complex.",
Pitt,Gold,HM,100,98,TRUE,I agree to participate,Yes,,,Other university funding,,"Yes, I would have found another source of funding",,Somewhat unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Gold,HM,18,45,FALSE,I agree to participate,,,,,,,,,,,,
UCB,Gold,NSE,100,54,TRUE,I agree,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,82,TRUE,I agree,Yes,,,"Other university funding,Other",Start-up,No,,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,222,TRUE,I agree,Yes,,,"Grant,Other",Grant's support from the first author,No,,Somewhat unreasonable,Less than or equal to $3k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,I am a postdoc now and cannot apply for a funding which seems to be a little bit unfair.,"I hope to get a job even in R3 universities and maybe it's better to give us some useful links, thanks!"
UCB,Gold,NSE,100,303,TRUE,I agree,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is much more difficult for me to pay publishing fees than other researchers in my field,"I had to cut my salary in order to pay the increased fee for ""mandatory"" open access",
UCB,Gold,NSE,100,542,TRUE,I agree,No,No,,,,,,,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,"i always disagreed with paying to publish. i've several battles with publishers. varying fees can lead to discrimination against  authors, disciplines, multidisciplinary  papers.",I rejected the idea for page charges since the mid-1970s as a social scientist writing about physical science issues. they were rejected as inappropriate for a scince discipine journal. is writing about the value  to society of a weather or climate forecast ? they eventually accepted it and it helped broaded the science community. but my social science grant did not include page fee support. it would have gone to readers who wwere already part of the choir. page charge can stifle creativity. [Redacted text]
UCB,Gold,NSE,100,82,TRUE,I agree,Yes,,,Grant,,No,,Extremely unreasonable,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,85,TRUE,I agree,Yes,,,Grant,,No,,Somewhat unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,372,TRUE,I agree,Yes,,,The fee was waived,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,"OA are getting to be very expensive, and it is indeed a problem. Thank you for taking the time to understand the issue. For the paper requested in this survey, the fees were waved due to merit I had earned wiht the Association. I am far more supportive of paying fees to nonprofit professional societies and associations than for-profit publishers."
UCB,Gold,NSE,100,229,TRUE,I agree,Yes,,,Other,National Radio Astronomy Observatory,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,"It is bizzare model that academic journals use:  they no longer print physical copy, they get expert referees to work for free (many times per paper), and they get authors to pay to publish."
UCB,Gold,NSE,100,157,TRUE,I agree,Yes,,,Other university funding,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field, The fees keep increasing as my obligations decrease the time I have to write grants to pay for these costs!  Plus it stinks to spend a month of a grad student's salary on OA.  Supporting trainees is where I'd prefer to spend money,Thank you for working on ways to help CU researchers publish OA!
UCB,Gold,NSE,100,233,TRUE,I agree,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,310,TRUE,I agree,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I once complained to a European colleague about the timing of publication: by the time the papers come out, the grant has often run out and the only realistic option is to pay for it with a new grant. He replied to the effect of ""oh, I never pay those things - I just tell them we're exempt in Europe""",
UCB,Gold,NSE,100,114,TRUE,I agree,No,Yes,,,,,,,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I have never paid for open access, and strongly prefer not to as grant funds are limited. If that weren't a significant limitation, I don't have a problem in principle with the charges.",No
UCB,Gold,NSE,100,95,TRUE,I agree,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,1063,TRUE,I agree,Yes,,,Grant,,No,,Somewhat reasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,I publish mainly in the [Redacted text].  They have recently revised their publication charge structure to a tier-based system to transition to Open Access. [Redacted text]
UCB,Gold,NSE,100,108,TRUE,I agree,Yes,,,The fee was waived,,No,,Extremely unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,299,TRUE,I agree,Yes,,,The fee was waived,,No,,Somewhat unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"I can't figure what these charges are used for, especially when they are charged by Journals that are already being paid for by the University subscriptions.",I have paid $1000 for open access but usually try to get it waived or pay this to journals for which the university does not have a subscription and is strictly open access.  
UCB,Gold,NSE,100,122,TRUE,I agree,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $3k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"My inability to pay open access fees has, on occasion, limited the journals to which I can submit. Fee waivers were not made for people like me.",
UCB,Gold,NSE,100,155,TRUE,I agree,Yes,,,"Grant,Other university funding",,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,144,TRUE,I agree,No,Yes,,,,,,,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,I am on the teaching track and therefore publication fees are not always tied into a grant for me ,
UCB,Gold,NSE,100,177,TRUE,I agree,Yes,,,Library,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UCB,Gold,NSE,100,148,TRUE,I agree,Yes,,,The fee was waived,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"Publishing fees are detrimental to diversity (e.g., researchers from other countries particularly global south, non-R1 institutions, etc.)",
UCB,Gold,NSE,100,610,TRUE,I agree,Yes,,,Grant,,No,,Somewhat reasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"The publishing business is very difficult to understand.  We, researchers, write and review the papers that are published for free.  The publishing houses control the logistics and nothing else, for which we pay them.  Then, the authors receive no royalties and the publishers get all the profits; that seems unfair.",No
UCB,Gold,NSE,100,159,TRUE,I agree,Yes,,,Library,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is much more difficult for me to pay publishing fees than other researchers in my field,,
UCB,Gold,HM,100,57,TRUE,I agree,Yes,,,Other university funding,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,HM,100,100,TRUE,I agree,Yes,,,"Library,Other",Startup funds,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,HM,100,131,TRUE,I agree,Yes,,,Library,,No,,Extremely unreasonable,No fees are reasonable,It is much more difficult for me to pay publishing fees than other researchers in my field,"IF journals require publishing fees, researchers should be allotted money for this since it is a requirement of my job.",
UCB,Gold,HM,100,392,TRUE,I agree,Yes,,,"Grant,Library",,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,The growing correlation between the size of the publishing fee and the impact factor of the journal harms research. The library funds help mitigate the harm. ,Thank you. 
UCB,Gold,HM,100,119,TRUE,I agree,Yes,,,Other university funding,,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,"It's a diversity and equity issue. People from historically marginalized groups are least likely to be able to pay publication fees. Plus, publishing companies make LOTS OF MONEY and do not need these fees to be this high. ",
UCB,Gold,HM,100,254,TRUE,I agree,Yes,,,"Grant,Other university funding",,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,I thinking paying to publish is inherently problematic and creates inequities in the race to publish and more and more finders are requiring open access which requires extensive uses of public funds to underwrite this cost. ,
UCB,Gold,HM,100,161,TRUE,I agree,No,Yes,,,,,,,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,The costs for OA have exploded in recent years. We will cut back on publishing when they invariably get the 5K range.,Nope
UCB,Gold,HM,100,180,TRUE,I agree,Yes,,,Other,PI's ICR,"Yes, I would have found another source of funding",,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,HM,100,131,TRUE,I agree,Yes,,,Other university funding,,No,,Extremely unreasonable,No fees are reasonable,It is much easier for me to pay publishing fees than other researchers in my field,"As a postdoc, I have extremely limited access to my own funding, and without PI support I would not be able to pay APCs.", 
UCB,Gold,HM,100,180,TRUE,I agree,Yes,,,Out of pocket,,No,,Somewhat reasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I wrote an Opinion Piece, which cost about $400. The price determined what I wrote. I could not have afforded to submit an article. ",
UCB,Gold,HM,100,15808,TRUE,I agree,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I worry about the ability to pay fees, but I have been able to so far. I have also used the open access fund. Without that, I would have had to publish closed access a few times. I like open access because I want everyone to have access to scientific studies, but I don't like the model where researchers pay a lot (in some journals) to publish their work - it creates bad incentives to publish bad research in some cases, and makes it so people with less financial backing cannot have their papers openly accessible in others.  ",I put my comments in the previous dialog box. 
UCB,Gold,HM,100,135,TRUE,I agree,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $3k,It is much easier for me to pay publishing fees than other researchers in my field,"I feel privileged to run a well funded group that is able to pay toward every paper we publish. However, the system is obviously bonkers, in that we create the products, review others' products for free, and then pay to get the products published. What a world!",
UCB,Gold,HM,100,93,TRUE,I agree,No,Maybe,,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UCB,Gold,HM,100,146,TRUE,I agree,Yes,,,Other,Private funding partner,No,,Extremely unreasonable,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,I personally think publishing is a bit of a scam. Most of the labor is free including me reviewing articles. I can understand some overhead. But personally I think all articles should be open science and available to all. And believe that reviewers are offered a stipend for their time. ,
UCB,Gold,HM,64,74083,FALSE,I agree,Yes,,,Grant,,"Yes, I would have found another source of funding",,,,,,
UCB,Gold,HSS,100,395,TRUE,I agree,Yes,,,Library,,"Yes, I would have found another source of funding",,Somewhat unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UCB,Gold,HSS,100,3373,TRUE,I agree,Yes,,,"Department,Other university funding",,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I have a well-funded lab and access to a decent amount of discretionary funding to pay for publishing fees, but then I often struggle because the highest-impact / most valued journals have the highest publishing fees, meaning that sometimes I have to choose between a high-valued venue and a venue I can afford.",
UCB,Gold,HSS,100,17077,TRUE,I agree,No,Maybe,I would be unlikely to put this line item in a grant proposal,,,,,,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,Don't think we should have to do this.,The APC model has led to the growth of predatory publishers and low quality research publications including fraudulent and plagiarized work.
UCB,Gold,HSS,100,274,TRUE,I agree,No,Maybe,Only for a high profile journal like PNAS,,,,,,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"I have research grants, but I don't think I have a line item for publication fees. If I wanted to use a grant to pay the fees I might have to jump through more bureaucratic hoops to make the payment allowable/allocable.",I avoid journals that charge a fee. My favorite journal is open access and free to publish in. [Redacted text]
UCB,Gold,HSS,100,168,TRUE,I agree,,,,,,,,,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"By ""me to pay publishing fees,"" that is premised on the assumption that there is thriving support at our library. Without that, I would not really be able to pay these fees. Also, I think fees vary wildly by field, depending on the nature of publication and the funding models.",I wasn't sure how to answer the first question because I don't recall the email.
UCB,Gold,HSS,100,32,TRUE,I agree,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $3k,It is much easier for me to pay publishing fees than other researchers in my field,,
UCB,Gold,HSS,100,244,TRUE,I agree,Yes,,,"Grant,The fee was waived,Other",fee partly waived ,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"paying such fees generally requires grant money. Some of us have grant money, but not enough. Most of the places I publish offer a waiver, or a partial waiver, but these costs are definitely a barrier ","Departments and universities should provide specific funds for pub fees. I run a small online journal (NAME REDACTED) and we *have* to charge a pub fee because otherwise we cannot stay afloat. Journal is run by volunteers. SO...i understand both sides. To be equitable, there need to be funds available to everyone to offset costs."
UCB,Gold,HSS,36,51,FALSE,I agree,Yes,,,,,,,,,,,
UTK,Gold,NSE,100,71,TRUE,I agree to participate,Yes,,,,,No,,Somewhat reasonable,Less than or equal to $5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,205,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Extremely reasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,212,TRUE,I agree to participate,Yes,,,Other,University of my co-author,No,,Extremely unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,145,TRUE,I agree to participate,Yes,,,Other,Start-up,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,255,TRUE,I agree to participate,Yes,,,"Out of pocket,Other university funding",,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,open access is mandatory now in projects that are federally funded. The open access model drains the grant funds because my last paper cost more than 3k. The Open Access fund would only pay 1800 of this and there is no guarantee of this funding.,
UTK,Gold,NSE,100,102,TRUE,I agree to participate,Yes,,,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,201,TRUE,I agree to participate,Yes,,,Other university funding,,No,,Somewhat reasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,94,TRUE,I agree to participate,Yes,,,"Grant,Other university funding,Other",collaborator at Purdue paid half of publishing fee,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,111,TRUE,I agree to participate,Yes,,,"Grant,Other",Non-Exchange Funds,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,383,TRUE,I agree to participate,Yes,,,"Grant,Other","negotiated lower price through UT libraries, but no money came from the library itself",No,,Somewhat unreasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"I wish more journals had tiered pricing. If the lead author is at an R1, they can generally pay more than, for example, a researcher at a community college or definitely one in an institution in a developing country.","This is a messy situation. Open access makes research more available to everyone, but the fees associated with it make actually publishing in that format very exclusionary of less well funded researchers."
UTK,Gold,NSE,100,335,TRUE,I agree to participate,Yes,,,Library,,No,,Somewhat reasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,79,TRUE,I agree to participate,Yes,,,"Library,Out of pocket",,No,,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,55,TRUE,I agree to participate,Yes,,,Other,Collborators,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,98,TRUE,I agree to participate,Yes,,,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $3k,It is much easier for me to pay publishing fees than other researchers in my field,,
UTK,Gold,NSE,100,130,TRUE,I agree to participate,Yes,,,,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
